,season,Team,win_match,total_pick
20,2000,Phoenix Suns,51.0,42.0
50,2001,Phoenix Suns,36.0,61.0
81,2002,Phoenix Suns,44.0,9.0
111,2003,Phoenix Suns,29.0,25.0
143,2004,Phoenix Suns,62.0,50.0
173,2005,Phoenix Suns,54.0,9.0
204,2006,Phoenix Suns,61.0,17.0
234,2007,Phoenix Suns,55.0,7.0
266,2008,Phoenix Suns,46.0,21.0
298,2009,Phoenix Suns,54.0,21.0
328,2010,Phoenix Suns,40.0,24.0
359,2011,Phoenix Suns,33.0,15.0
417,2013,Phoenix Suns,48.0,46.0
450,2014,Phoenix Suns,39.0,13.0
483,2015,Phoenix Suns,23.0,13.0
515,2016,Phoenix Suns,24.0,5.0
545,2017,Phoenix Suns,21.0,61.0
575,2018,Phoenix Suns,19.0,13.0
605,2019,Phoenix Suns,34.0,4.0
635,2020,Phoenix Suns,51.0,4.0
665,2021,Phoenix Suns,64.0,1.0
695,2022,Phoenix Suns,45.0,6.0
723,2023,Phoenix Suns,,10.0
