,season,Team,win_match,total_pick
22,2000,Sacramento Kings,55.0,11.0
52,2001,Sacramento Kings,61.0,7.0
83,2002,Sacramento Kings,59.0,45.0
113,2003,Sacramento Kings,55.0,16.0
145,2004,Sacramento Kings,50.0,25.0
175,2005,Sacramento Kings,44.0,28.0
206,2006,Sacramento Kings,33.0,61.0
236,2007,Sacramento Kings,38.0,26.0
268,2008,Sacramento Kings,17.0,23.0
300,2009,Sacramento Kings,25.0,19.0
330,2010,Sacramento Kings,24.0,10.0
361,2011,Sacramento Kings,22.0,12.0
387,2012,Sacramento Kings,,4.0
419,2013,Sacramento Kings,28.0,5.0
452,2014,Sacramento Kings,29.0,7.0
485,2015,Sacramento Kings,33.0,5.0
517,2016,Sacramento Kings,32.0,7.0
547,2017,Sacramento Kings,27.0,61.0
577,2018,Sacramento Kings,39.0,6.0
607,2019,Sacramento Kings,31.0,13.0
637,2020,Sacramento Kings,31.0,5.0
667,2021,Sacramento Kings,30.0,2.0
697,2022,Sacramento Kings,48.0,40.0
725,2023,Sacramento Kings,,12.0
749,2024,Sacramento Kings,,9.0
776,2025,Sacramento Kings,,4.0
