,season,Team,win_match,position,total_pick
0,2000,Atlanta Hawks,C,Center,34.0
1,2001,Atlanta Hawks,D,Guard,40.0
2,2002,Atlanta Hawks,D,Forward,42.0
3,2003,Atlanta Hawks,C,Forward,35.0
4,2003,Atlanta Hawks,C,Forward-Guard,42.0
5,2003,Atlanta Hawks,C,Guard,52.0
6,2004,Atlanta Hawks,B,Center-Forward,22.0
7,2004,Atlanta Hawks,B,Forward-Guard,56.0
8,2005,Atlanta Hawks,C,Center-Forward,59.0
9,2005,Atlanta Hawks,C,other,29.0
10,2006,Atlanta Hawks,C,other,26.0
11,2007,Atlanta Hawks,E,Center-Forward,41.0
12,2007,Atlanta Hawks,E,Guard-Forward,25.0
13,2008,Atlanta Hawks,G,Forward,45.0
14,2008,Atlanta Hawks,G,Forward-Guard,56.0
15,2008,Atlanta Hawks,G,Guard,28.0
16,2009,Atlanta Hawks,H,Forward,60.0
17,2010,Atlanta Hawks,F,Forward,29.0
18,2011,Atlanta Hawks,E,Center-Forward,59.0
19,2011,Atlanta Hawks,E,Guard,51.0
20,2013,Atlanta Hawks,E,Guard,43.0
21,2014,Atlanta Hawks,I,Forward,38.0
22,2014,Atlanta Hawks,I,Forward-Guard,9.0
23,2015,Atlanta Hawks,G,Forward-Center,14.0
24,2016,Atlanta Hawks,F,Forward,19.0
25,2016,Atlanta Hawks,F,Guard,39.0
26,2017,Atlanta Hawks,C,Forward,12.0
27,2017,Atlanta Hawks,C,Guard,45.0
28,2018,Atlanta Hawks,C,Nothing,1.0
29,2019,Atlanta Hawks,B,Forward-Guard,47.0
30,2020,Atlanta Hawks,F,Guard,8.0
31,2020,Atlanta Hawks,F,Guard-Forward,41.0
32,2021,Atlanta Hawks,F,Forward-Center,43.0
33,2021,Atlanta Hawks,F,Guard,21.0
34,2022,Atlanta Hawks,F,Forward,32.0
35,2022,Atlanta Hawks,F,Forward-Guard,59.0
36,2022,Atlanta Hawks,F,Guard,28.0
37,2023,Atlanta Hawks,,Center-Forward,54.0
38,2023,Atlanta Hawks,,Forward-Guard,52.0
39,2023,Atlanta Hawks,,Guard,27.0
40,2024,Atlanta Hawks,,Forward-Center,56.0
41,2024,Atlanta Hawks,,Guard,12.0
42,2025,Atlanta Hawks,,Forward,42.0
43,2025,Atlanta Hawks,,Guard,14.0
44,2026,Atlanta Hawks,,Forward,46.0
45,2026,Atlanta Hawks,,Guard,18.0
