,season,Team,win_match,position,total_pick
0,2001,Memphis Grizzlies,C,Nothing,1.0
1,2002,Memphis Grizzlies,C,Nothing,1.0
2,2003,Memphis Grizzlies,G,Nothing,1.0
3,2004,Memphis Grizzlies,F,Nothing,1.0
4,2005,Memphis Grizzlies,G,Forward,56.0
5,2005,Memphis Grizzlies,G,Guard,35.0
6,2006,Memphis Grizzlies,C,Forward,58.0
7,2007,Memphis Grizzlies,C,Center,35.0
8,2007,Memphis Grizzlies,C,Guard,49.0
9,2008,Memphis Grizzlies,C,Nothing,1.0
10,2009,Memphis Grizzlies,E,Forward,43.0
11,2010,Memphis Grizzlies,G,Guard,38.0
12,2011,Memphis Grizzlies,F,Guard,58.0
13,2012,Memphis Grizzlies,,Forward,34.0
14,2012,Memphis Grizzlies,,Forward-Center,57.0
15,2013,Memphis Grizzlies,G,Center,60.0
16,2013,Memphis Grizzlies,G,Forward,35.0
17,2013,Memphis Grizzlies,G,Forward-Guard,26.0
18,2014,Memphis Grizzlies,H,Forward-Guard,50.0
19,2014,Memphis Grizzlies,H,Guard,37.0
20,2015,Memphis Grizzlies,F,Guard,13.0
21,2016,Memphis Grizzlies,F,Guard,37.0
22,2017,Memphis Grizzlies,C,Center,7.0
23,2017,Memphis Grizzlies,C,Guard,21.0
24,2018,Memphis Grizzlies,D,Nothing,1.0
25,2019,Memphis Grizzlies,D,Forward,37.0
26,2020,Memphis Grizzlies,E,Guard,45.0
27,2021,Memphis Grizzlies,I,Nothing,1.0
28,2022,Memphis Grizzlies,H,Forward-Center,58.0
29,2022,Memphis Grizzlies,H,Guard,30.0
30,2023,Memphis Grizzlies,,Guard,60.0
31,2024,Memphis Grizzlies,,Forward,22.0
32,2025,Memphis Grizzlies,,Forward,45.0
33,2025,Memphis Grizzlies,,Guard,11.0
34,2026,Memphis Grizzlies,,Center,40.0
35,2026,Memphis Grizzlies,,Guard,33.0
