,Team,season,win_match,overall_pick,position
0,Atlanta Hawks,2000,25.0,22.0,Guard
1,Atlanta Hawks,2001,33.0,20.0,Forward
2,Atlanta Hawks,2002,35.0,10.0,Guard
3,Atlanta Hawks,2002,35.0,20.0,Forward-Guard
4,Atlanta Hawks,2002,35.0,27.0,Forward
5,Atlanta Hawks,2003,28.0,6.0,Forward-Guard
6,Atlanta Hawks,2003,28.0,40.0,Center-Forward
7,Atlanta Hawks,2004,13.0,3.0,Center-Forward
8,Atlanta Hawks,2004,13.0,33.0,other
9,Atlanta Hawks,2005,26.0,36.0,other
10,Atlanta Hawks,2006,30.0,21.0,Center-Forward
11,Atlanta Hawks,2006,30.0,37.0,Guard-Forward
12,Atlanta Hawks,2007,37.0,6.0,Forward-Guard
13,Atlanta Hawks,2007,37.0,17.0,Forward
14,Atlanta Hawks,2007,37.0,34.0,Guard
15,Atlanta Hawks,2007,37.0,37.0,Guard
16,Atlanta Hawks,2008,47.0,2.0,Forward
17,Atlanta Hawks,2009,53.0,33.0,Forward
18,Atlanta Hawks,2010,44.0,3.0,Center-Forward
19,Atlanta Hawks,2010,44.0,11.0,Guard
20,Atlanta Hawks,2011,40.0,61.0,Nothing
21,Atlanta Hawks,2012,,19.0,Guard
22,Atlanta Hawks,2013,38.0,24.0,Forward
23,Atlanta Hawks,2013,38.0,53.0,Forward-Guard
24,Atlanta Hawks,2014,60.0,48.0,Forward-Center
25,Atlanta Hawks,2015,48.0,23.0,Guard
26,Atlanta Hawks,2015,48.0,43.0,Forward
27,Atlanta Hawks,2016,43.0,17.0,Guard
28,Atlanta Hawks,2016,43.0,18.0,Guard
29,Atlanta Hawks,2016,43.0,47.0,Guard
30,Atlanta Hawks,2016,43.0,50.0,Forward
31,Atlanta Hawks,2017,24.0,61.0,Nothing
32,Atlanta Hawks,2018,29.0,15.0,Forward-Guard
33,Atlanta Hawks,2019,20.0,21.0,Guard-Forward
34,Atlanta Hawks,2019,20.0,54.0,Guard
35,Atlanta Hawks,2020,41.0,19.0,Forward-Center
36,Atlanta Hawks,2020,41.0,41.0,Guard
37,Atlanta Hawks,2021,43.0,3.0,Forward-Guard
38,Atlanta Hawks,2021,43.0,30.0,Forward
39,Atlanta Hawks,2021,43.0,34.0,Guard
40,Atlanta Hawks,2022,41.0,8.0,Center-Forward
41,Atlanta Hawks,2022,41.0,10.0,Forward-Guard
42,Atlanta Hawks,2022,41.0,35.0,Guard
43,Atlanta Hawks,2023,,6.0,Forward-Center
44,Atlanta Hawks,2023,,50.0,Guard
45,Atlanta Hawks,2024,,20.0,Forward
46,Atlanta Hawks,2024,,48.0,Guard
47,Atlanta Hawks,2025,,16.0,Forward
48,Atlanta Hawks,2025,,44.0,Guard
49,Boston Celtics,2000,36.0,3.0,Guard
50,Boston Celtics,2000,36.0,6.0,Guard-Forward
51,Boston Celtics,2001,49.0,10.0,Forward
52,Boston Celtics,2002,44.0,61.0,Nothing
53,Boston Celtics,2003,36.0,11.0,Forward
54,Boston Celtics,2004,45.0,10.0,Guard-Forward
55,Boston Celtics,2004,45.0,21.0,Guard
56,Boston Celtics,2005,33.0,49.0,Forward
57,Boston Celtics,2006,24.0,16.0,Guard
58,Boston Celtics,2006,24.0,20.0,Guard-Forward
59,Boston Celtics,2007,66.0,15.0,Center
60,Boston Celtics,2007,66.0,24.0,Guard
61,Boston Celtics,2007,66.0,25.0,Guard-Forward
62,Boston Celtics,2007,66.0,40.0,Forward
63,Boston Celtics,2008,62.0,18.0,Guard-Forward
64,Boston Celtics,2008,62.0,50.0,Forward
65,Boston Celtics,2008,62.0,53.0,Guard
66,Boston Celtics,2009,50.0,7.0,Guard
67,Boston Celtics,2010,56.0,5.0,Forward
68,Boston Celtics,2010,56.0,32.0,Guard
69,Boston Celtics,2011,39.0,30.0,Guard
70,Boston Celtics,2011,39.0,60.0,Center
71,Boston Celtics,2012,,58.0,Guard
72,Boston Celtics,2013,25.0,19.0,Guard
73,Boston Celtics,2013,25.0,52.0,Forward
74,Boston Celtics,2014,40.0,25.0,Guard
75,Boston Celtics,2014,40.0,55.0,Guard
76,Boston Celtics,2015,48.0,21.0,Center-Forward
77,Boston Celtics,2015,48.0,22.0,Center
78,Boston Celtics,2015,48.0,51.0,Forward
79,Boston Celtics,2016,53.0,61.0,Nothing
80,Boston Celtics,2017,55.0,61.0,Nothing
81,Boston Celtics,2018,49.0,16.0,Guard
82,Boston Celtics,2018,49.0,28.0,Guard
83,Boston Celtics,2018,49.0,33.0,Center-Forward
84,Boston Celtics,2018,49.0,45.0,Guard-Forward
85,Boston Celtics,2019,48.0,3.0,Guard-Forward
86,Boston Celtics,2019,48.0,16.0,Forward
87,Boston Celtics,2019,48.0,23.0,Center
88,Boston Celtics,2019,48.0,45.0,Guard
89,Boston Celtics,2019,48.0,51.0,Forward
90,Boston Celtics,2019,48.0,58.0,Forward
91,Boston Celtics,2020,36.0,3.0,Forward-Guard
92,Boston Celtics,2020,36.0,37.0,Forward
93,Boston Celtics,2020,36.0,53.0,Guard
94,Boston Celtics,2020,36.0,56.0,Guard
95,Boston Celtics,2021,51.0,27.0,Center-Forward
96,Boston Celtics,2022,57.0,14.0,Guard-Forward
97,Boston Celtics,2022,57.0,20.0,Guard-Forward
98,Boston Celtics,2022,57.0,22.0,Forward
99,Boston Celtics,2022,57.0,51.0,Guard
100,Boston Celtics,2023,,14.0,Guard-Forward
101,Boston Celtics,2023,,26.0,Guard
102,Boston Celtics,2023,,30.0,Guard
103,Boston Celtics,2025,,53.0,Guard
104,Brooklyn Nets,2013,44.0,61.0,Nothing
105,Brooklyn Nets,2014,38.0,61.0,Nothing
106,Brooklyn Nets,2015,21.0,61.0,Nothing
107,Brooklyn Nets,2016,20.0,22.0,Forward-Center
108,Brooklyn Nets,2017,28.0,61.0,Nothing
109,Brooklyn Nets,2018,42.0,29.0,Forward
110,Brooklyn Nets,2018,42.0,41.0,Guard
111,Brooklyn Nets,2019,35.0,42.0,Guard
112,Brooklyn Nets,2020,48.0,22.0,Center
113,Brooklyn Nets,2020,48.0,27.0,Forward
114,Brooklyn Nets,2021,44.0,29.0,Guard-Forward
115,Brooklyn Nets,2021,44.0,40.0,Forward
116,Brooklyn Nets,2021,44.0,45.0,Guard
117,Brooklyn Nets,2022,45.0,17.0,Guard
118,Brooklyn Nets,2022,45.0,31.0,Center
119,Brooklyn Nets,2023,,19.0,Forward
120,Brooklyn Nets,2024,,27.0,Guard
121,Brooklyn Nets,2024,,59.0,Forward
122,Charlotte Bobcats,2004,18.0,61.0,Nothing
123,Charlotte Bobcats,2005,26.0,61.0,Nothing
124,Charlotte Bobcats,2006,33.0,61.0,Nothing
125,Charlotte Bobcats,2007,32.0,2.0,Center
126,Charlotte Bobcats,2007,32.0,45.0,Guard-Forward
127,Charlotte Bobcats,2008,35.0,5.0,Guard
128,Charlotte Bobcats,2008,35.0,13.0,Center-Forward
129,Charlotte Bobcats,2009,44.0,3.0,Forward
130,Charlotte Bobcats,2010,34.0,22.0,Forward
131,Charlotte Bobcats,2011,7.0,9.0,Guard
132,Charlotte Bobcats,2011,7.0,20.0,Center
133,Charlotte Bobcats,2011,7.0,38.0,Guard
134,Charlotte Bobcats,2012,,12.0,Guard
135,Charlotte Bobcats,2012,,12.0,Guard
136,Charlotte Bobcats,2012,,40.0,Forward
137,Charlotte Bobcats,2012,,54.0,Guard-Forward
138,Charlotte Bobcats,2013,43.0,61.0,Nothing
139,Charlotte Bobcats,2014,,9.0,Guard
140,Charlotte Bobcats,2014,,19.0,Forward
141,Charlotte Bobcats,2014,,39.0,Forward
142,Charlotte Bobcats,2015,,2.0,Forward
143,Charlotte Bobcats,2016,,4.0,Forward-Center
144,Charlotte Hornets,2000,46.0,61.0,Nothing
145,Charlotte Hornets,2001,44.0,21.0,Guard
146,Charlotte Hornets,2002,,3.0,Guard
147,Charlotte Hornets,2002,,43.0,Forward
148,Charlotte Hornets,2004,,16.0,Forward
149,Charlotte Hornets,2014,33.0,61.0,Nothing
150,Charlotte Hornets,2015,48.0,61.0,Nothing
151,Charlotte Hornets,2016,36.0,61.0,Nothing
152,Charlotte Hornets,2017,36.0,61.0,Nothing
153,Charlotte Hornets,2018,39.0,9.0,Forward-Center
154,Charlotte Hornets,2019,23.0,22.0,Guard
155,Charlotte Hornets,2020,33.0,11.0,Guard
156,Charlotte Hornets,2020,33.0,31.0,Guard
157,Charlotte Hornets,2021,43.0,11.0,Guard
158,Charlotte Hornets,2021,43.0,55.0,Forward
159,Charlotte Hornets,2022,27.0,36.0,Forward
160,Charlotte Hornets,2022,27.0,52.0,Forward-Center
161,Charlotte Hornets,2023,,3.0,Guard
162,Charlotte Hornets,2023,,32.0,Center
163,Charlotte Hornets,2023,,56.0,Guard
164,Charlotte Hornets,2024,,56.0,Guard
165,Charlotte Hornets,2025,,13.0,Center
166,Charlotte Hornets,2025,,15.0,Center
167,Charlotte Hornets,2025,,45.0,Forward
168,Chicago Bulls,2000,15.0,28.0,Forward
169,Chicago Bulls,2001,21.0,28.0,Guard
170,Chicago Bulls,2001,21.0,58.0,Forward
171,Chicago Bulls,2002,30.0,16.0,Forward
172,Chicago Bulls,2002,30.0,49.0,Forward
173,Chicago Bulls,2003,23.0,4.0,other
174,Chicago Bulls,2003,23.0,24.0,Center
175,Chicago Bulls,2003,23.0,33.0,Center
176,Chicago Bulls,2003,23.0,34.0,Guard
177,Chicago Bulls,2004,47.0,4.0,Center
178,Chicago Bulls,2004,47.0,44.0,Forward
179,Chicago Bulls,2005,41.0,2.0,Guard
180,Chicago Bulls,2005,41.0,43.0,Forward
181,Chicago Bulls,2006,49.0,7.0,Guard
182,Chicago Bulls,2006,49.0,45.0,Center-Forward
183,Chicago Bulls,2007,33.0,3.0,Guard
184,Chicago Bulls,2007,33.0,38.0,Guard
185,Chicago Bulls,2008,41.0,61.0,Nothing
186,Chicago Bulls,2009,41.0,2.0,Center-Forward
187,Chicago Bulls,2009,41.0,16.0,Forward
188,Chicago Bulls,2010,62.0,9.0,Forward-Center
189,Chicago Bulls,2010,62.0,49.0,Center
190,Chicago Bulls,2010,62.0,51.0,Guard
191,Chicago Bulls,2011,50.0,39.0,Guard-Forward
192,Chicago Bulls,2012,,16.0,Forward
193,Chicago Bulls,2012,,26.0,Forward
194,Chicago Bulls,2013,48.0,61.0,Nothing
195,Chicago Bulls,2014,50.0,28.0,Guard
196,Chicago Bulls,2014,50.0,30.0,Forward
197,Chicago Bulls,2015,42.0,29.0,Guard
