,season,Team,win_match,position,total_pick
0,2000,Phoenix Suns,H,Forward,19.0
1,2000,Phoenix Suns,H,Guard,47.0
2,2001,Phoenix Suns,E,Guard-Forward,20.0
3,2002,Phoenix Suns,F,Nothing,1.0
4,2003,Phoenix Suns,C,Guard-Forward,53.0
5,2004,Phoenix Suns,J,Center,37.0
6,2005,Phoenix Suns,H,Forward,12.0
7,2006,Phoenix Suns,J,Forward-Center,53.0
8,2006,Phoenix Suns,J,Guard,40.0
9,2007,Phoenix Suns,H,Forward-Center,45.0
10,2008,Phoenix Suns,G,Forward,55.0
11,2009,Phoenix Suns,H,Center,5.0
12,2009,Phoenix Suns,H,Guard,41.0
13,2010,Phoenix Suns,E,Guard,41.0
14,2011,Phoenix Suns,D,Forward,33.0
15,2011,Phoenix Suns,D,Guard,3.0
16,2011,Phoenix Suns,D,other,38.0
17,2012,Phoenix Suns,,Center,47.0
18,2012,Phoenix Suns,,Guard,14.0
19,2013,Phoenix Suns,G,Nothing,1.0
20,2014,Phoenix Suns,E,Forward,16.0
21,2015,Phoenix Suns,C,Forward,49.0
22,2016,Phoenix Suns,C,Guard,49.0
23,2017,Phoenix Suns,C,Center,57.0
24,2018,Phoenix Suns,B,Nothing,1.0
25,2019,Phoenix Suns,D,Guard,49.0
26,2020,Phoenix Suns,H,Forward,58.0
27,2020,Phoenix Suns,H,Guard,28.0
28,2021,Phoenix Suns,J,Forward,8.0
29,2021,Phoenix Suns,J,Guard,30.0
30,2021,Phoenix Suns,J,Guard-Forward,58.0
31,2022,Phoenix Suns,F,Center,61.0
32,2022,Phoenix Suns,F,Forward-Guard,31.0
33,2022,Phoenix Suns,F,Guard,46.0
34,2023,Phoenix Suns,,Forward-Guard,30.0
35,2023,Phoenix Suns,,Guard-Forward,56.0
36,2024,Phoenix Suns,,Forward-Center,52.0
