index;team_name_home;season_id;wl_home;total_home;total_away;total_victoire
1;Atlanta Hawks;2000;W;18;7;25
2;Atlanta Hawks;2001;W;23;10;33
4;Atlanta Hawks;2002;W;26;9;35
7;Atlanta Hawks;2003;W;18;10;28
9;Atlanta Hawks;2004;W;9;4;13
11;Atlanta Hawks;2005;W;18;8;26
13;Atlanta Hawks;2006;W;18;12;30
14;Atlanta Hawks;2007;W;25;12;37
16;Atlanta Hawks;2008;W;31;16;47
18;Atlanta Hawks;2009;W;34;19;53
20;Atlanta Hawks;2010;W;24;20;44
22;Atlanta Hawks;2011;W;23;17;40
24;Atlanta Hawks;2013;W;24;14;38
26;Atlanta Hawks;2014;W;35;25;60
28;Atlanta Hawks;2015;W;27;21;48
30;Atlanta Hawks;2016;W;23;20;43
33;Atlanta Hawks;2017;W;16;8;24
35;Atlanta Hawks;2018;W;17;12;29
37;Atlanta Hawks;2019;W;14;6;20
38;Atlanta Hawks;2020;W;25;16;41
40;Atlanta Hawks;2021;W;27;16;43
42;Atlanta Hawks;2022;W;24;17;41
45;Boston Celtics;2000;W;20;16;36
46;Boston Celtics;2001;W;27;22;49
48;Boston Celtics;2002;W;25;19;44
51;Boston Celtics;2003;W;19;17;36
52;Boston Celtics;2004;W;27;18;45
54;Boston Celtics;2005;W;21;12;33
57;Boston Celtics;2006;W;12;12;24
58;Boston Celtics;2007;W;35;31;66
60;Boston Celtics;2008;W;35;27;62
62;Boston Celtics;2009;W;24;26;50
64;Boston Celtics;2010;W;33;23;56
66;Boston Celtics;2011;W;24;15;39
69;Boston Celtics;2013;W;16;9;25
70;Boston Celtics;2014;W;21;19;40
72;Boston Celtics;2015;W;28;20;48
74;Boston Celtics;2016;W;30;23;53
76;Boston Celtics;2017;W;27;28;55
78;Boston Celtics;2018;W;28;21;49
80;Boston Celtics;2019;W;26;22;48
82;Boston Celtics;2020;W;21;15;36
84;Boston Celtics;2021;W;28;23;51
86;Boston Celtics;2022;W;32;25;57
88;Brooklyn Nets;2013;W;28;16;44
91;Brooklyn Nets;2014;W;19;19;38
93;Brooklyn Nets;2015;W;14;7;21
95;Brooklyn Nets;2016;W;13;7;20
97;Brooklyn Nets;2017;W;15;13;28
98;Brooklyn Nets;2018;W;23;19;42
100;Brooklyn Nets;2019;W;20;15;35
102;Brooklyn Nets;2020;W;28;20;48
105;Brooklyn Nets;2021;W;20;24;44
106;Brooklyn Nets;2022;W;23;22;45
109;Charlotte Bobcats;2004;W;14;4;18
111;Charlotte Bobcats;2005;W;17;9;26
113;Charlotte Bobcats;2006;W;20;13;33
114;Charlotte Bobcats;2007;W;21;11;32
116;Charlotte Bobcats;2008;W;23;12;35
118;Charlotte Bobcats;2009;W;31;13;44
120;Charlotte Bobcats;2010;W;21;13;34
123;Charlotte Bobcats;2011;W;4;3;7
124;Charlotte Bobcats;2013;W;25;18;43
126;Charlotte Hornets;2000;W;28;18;46
128;Charlotte Hornets;2001;W;21;23;44
131;Charlotte Hornets;2014;W;19;14;33
132;Charlotte Hornets;2015;W;30;18;48
134;Charlotte Hornets;2016;W;22;14;36
136;Charlotte Hornets;2017;W;21;15;36
138;Charlotte Hornets;2018;W;25;14;39
141;Charlotte Hornets;2019;W;10;13;23
143;Charlotte Hornets;2020;W;18;15;33
144;Charlotte Hornets;2021;W;22;21;43
147;Charlotte Hornets;2022;W;13;14;27
149;Chicago Bulls;2000;W;10;5;15
151;Chicago Bulls;2001;W;14;7;21
152;Chicago Bulls;2002;W;27;3;30
155;Chicago Bulls;2003;W;14;9;23
156;Chicago Bulls;2004;W;27;20;47
158;Chicago Bulls;2005;W;21;20;41
160;Chicago Bulls;2006;W;31;18;49
163;Chicago Bulls;2007;W;20;13;33
164;Chicago Bulls;2008;W;28;13;41
166;Chicago Bulls;2009;W;24;17;41
168;Chicago Bulls;2010;W;36;26;62
170;Chicago Bulls;2011;W;26;24;50
172;Chicago Bulls;2013;W;27;21;48
174;Chicago Bulls;2014;W;27;23;50
176;Chicago Bulls;2015;W;26;16;42
178;Chicago Bulls;2016;W;25;16;41
181;Chicago Bulls;2017;W;17;10;27
183;Chicago Bulls;2018;W;9;13;22
185;Chicago Bulls;2019;W;14;8;22
187;Chicago Bulls;2020;W;15;16;31
188;Chicago Bulls;2021;W;27;19;46
190;Chicago Bulls;2022;W;22;18;40
193;Cleveland Cavaliers;2000;W;20;10;30
195;Cleveland Cavaliers;2001;W;20;9;29
197;Cleveland Cavaliers;2002;W;14;3;17
198;Cleveland Cavaliers;2003;W;23;12;35
200;Cleveland Cavaliers;2004;W;29;13;42
202;Cleveland Cavaliers;2005;W;31;19;50
204;Cleveland Cavaliers;2006;W;30;20;50
206;Cleveland Cavaliers;2007;W;27;18;45
